url,name,birthday,congress_term,total_bills
https://www.congress.gov/member/james-abdnor/A000009,Senator James Abdnor,(1923 - 2012),In Congress 1973 - 1987,1949
https://www.congress.gov/member/neil-abercrombie/A000014,Representative Neil Abercrombie,(1938 - ),"In Congress 1985 - 1987, 1991 - 2011",4472
https://www.congress.gov/member/james-abourezk/A000017,Senator James Abourezk,(1931 - ),In Congress 1971 - 1979,875
https://www.congress.gov/member/ralph-abraham/A000374,Representative Ralph Lee Abraham,(1954 - ),In Congress 2015 - Present |,736
https://www.congress.gov/member/spencer-abraham/A000355,Senator Spencer Abraham,(1952 - ),In Congress 1995 - 2001,1227
https://www.congress.gov/member/bella-abzug/A000018,Representative Bella S. Abzug,(1920 - 1998),In Congress 1971 - 1977,1437
https://www.congress.gov/member/anibal-acevedo-vila/A000359,Resident Commissioner Anibal Acevedo-Vila,(1962 - ),In Congress 2001 - 2005,503
https://www.congress.gov/member/gary-ackerman/A000022,Representative Gary L. Ackerman,(1942 - ),In Congress 1983 - 2013,7315
https://www.congress.gov/member/alma-adams/A000370,Representative Alma S. Adams,(1946 - ),In Congress 2014 - Present |,1100
https://www.congress.gov/member/brockman-adams/A000031,Senator Brock Adams,(1927 - 2004),"In Congress 1965 - 1979, 1987 - 1993",1713
https://www.congress.gov/member/sandy-adams/A000366,Representative Sandy Adams,(1956 - ),In Congress 2011 - 2013,156
https://www.congress.gov/member/joseph-addabbo/A000052,Representative Joseph P. Addabbo,(1925 - 1986),In Congress 1961 - 1987,2393
https://www.congress.gov/member/robert-aderholt/A000055,Representative Robert B. Aderholt,(1965 - ),In Congress 1997 - Present |,1895
https://www.congress.gov/member/john-adler/A000364,Representative John H. Adler,(1959 - 2011),In Congress 2009 - 2011,234
https://www.congress.gov/member/pete-aguilar/A000371,Representative Pete Aguilar,(1979 - ),In Congress 2015 - Present |,1052
https://www.congress.gov/member/george-aiken/A000062,Senator George Aiken,(1892 - 1984),In Congress 1941 - 1975,44
https://www.congress.gov/member/daniel-akaka/A000069,Senator Daniel K. Akaka,(1924 - 2018),In Congress 1977 - 2013,6120
https://www.congress.gov/member/w-akin/A000358,Representative W. Todd Akin,(1947 - ),In Congress 2001 - 2013,1634
https://www.congress.gov/member/carl-albert/A000073,Representative Carl Albert,(1908 - 2000),In Congress 1947 - 1977,5
https://www.congress.gov/member/donald-albosta/A000076,Representative Donald J. Albosta,(1925 - 2014),In Congress 1979 - 1985,820
https://www.congress.gov/member/william-alexander/A000103,Representative Bill Alexander,(1934 - ),In Congress 1969 - 1993,1584
https://www.congress.gov/member/lamar-alexander/A000360,Senator Lamar Alexander,(1940 - ),In Congress 2003 - Present |,2190
https://www.congress.gov/member/rodney-alexander/A000361,Representative Rodney Alexander,(1946 - ),In Congress 2003 - 2013,1435
https://www.congress.gov/member/a-allard/A000109,Senator Wayne Allard,(1943 - ),In Congress 1991 - 2009,2187
https://www.congress.gov/member/clifford-allen/A000118,Representative Clifford R. Allen,(1912 - 1978),In Congress 1975 - 1979,155
https://www.congress.gov/member/george-allen/A000121,Senator George Allen,(1952 - ),"In Congress 1991 - 1993, 2001 - 2007",1321
https://www.congress.gov/member/james-allen/A000127,Senator James B. Allen,(1912 - 1978),In Congress 1969 - 1979,397
https://www.congress.gov/member/maryon-allen/A000139,Senator Maryon Allen,(1925 - 2018),In Congress 1977 - 1979,4
https://www.congress.gov/member/rick-allen/A000372,Representative Rick W. Allen,(1951 - ),In Congress 2015 - Present |,743
https://www.congress.gov/member/thomas-allen/A000357,Representative Thomas H. Allen,(1945 - ),In Congress 1997 - 2009,2254
https://www.congress.gov/member/colin-allred/A000376,Representative Colin Z. Allred,(1983 - ),In Congress 2019 - Present |,339
https://www.congress.gov/member/jason-altmire/A000362,Representative Jason Altmire,(1968 - ),In Congress 2007 - 2013,1118
https://www.congress.gov/member/justin-amash/A000367,Representative Justin Amash,(1980 - ),In Congress 2011 - Present |,346
https://www.congress.gov/member/jerome-ambro/A000170,Representative Jerome A. Ambro,(1928 - 1993),In Congress 1975 - 1981,361
https://www.congress.gov/member/joseph-ammerman/A000177,Representative Joseph S. Ammerman,(1924 - 1993),In Congress 1977 - 1979,117
https://www.congress.gov/member/mark-amodei/A000369,Representative Mark E. Amodei,(1958 - ),In Congress 2011 - Present |,1147
https://www.congress.gov/member/glenn-anderson/A000189,Representative Glenn M. Anderson,(1913 - 1994),In Congress 1969 - 1993,2750
https://www.congress.gov/member/john-anderson/A000195,Representative John B. Anderson,(1922 - 2017),In Congress 1961 - 1981,761
https://www.congress.gov/member/wendell-anderson/A000202,Senator Wendell R. Anderson,(1933 - 2016),In Congress 1977 - 1979,338
https://www.congress.gov/member/ike-andrews/A000207,Representative Ike Andrews,(1925 - 2010),In Congress 1973 - 1985,592
https://www.congress.gov/member/mark-andrews/A000208,Senator Mark Andrews,(1926 - 2020),In Congress 1963 - 1987,1802
https://www.congress.gov/member/michael-andrews/A000209,Representative Michael Andrews,(1944 - ),In Congress 1983 - 1995,1352
https://www.congress.gov/member/robert-andrews/A000210,Representative Robert E. Andrews,(1957 - ),In Congress 1989 - 2014,4558
https://www.congress.gov/member/thomas-andrews/A000211,Representative Thomas H. Andrews,(1953 - ),In Congress 1991 - 1995,623
https://www.congress.gov/member/frank-annunzio/A000212,Representative Frank Annunzio,(1915 - 2001),In Congress 1965 - 1993,2175
https://www.congress.gov/member/beryl-anthony/A000213,Representative Beryl Anthony Jr.,(1938 - ),In Congress 1979 - 1993,1311
https://www.congress.gov/member/douglas-applegate/A000214,Representative Douglas Applegate,(1928 - ),In Congress 1977 - 1995,2329
https://www.congress.gov/member/bill-archer/A000215,Representative Bill Archer,(1928 - ),In Congress 1971 - 2001,2142
https://www.congress.gov/member/michael-arcuri/A000363,Representative Michael A. Arcuri,(1959 - ),In Congress 2007 - 2011,922
https://www.congress.gov/member/leslie-arends/A000216,Representative Leslie C. Arends,(1895 - 1985),In Congress 1935 - 1975,37
https://www.congress.gov/member/dick-armey/A000217,Representative Richard K. Armey,(1940 - ),In Congress 1985 - 2003,2203
https://www.congress.gov/member/kelly-armstrong/A000377,Representative Kelly Armstrong,(1976 - ),In Congress 2019 - Present |,173
https://www.congress.gov/member/william-armstrong/A000219,Senator William L. Armstrong,(1937 - 2016),In Congress 1973 - 1991,1506
https://www.congress.gov/member/jodey-arrington/A000375,Representative Jodey C. Arrington,(1972 - ),In Congress 2017 - Present |,355
https://www.congress.gov/member/jean-ashbrook/A000220,Representative Jean Ashbrook,(1934 - ),In Congress 1981 - 1983,2
https://www.congress.gov/member/john-ashbrook/A000221,Representative John M. Ashbrook,(1928 - 1982),In Congress 1961 - 1983,637
https://www.congress.gov/member/john-ashcroft/A000356,Senator John Ashcroft,(1942 - ),In Congress 1995 - 2001,793
https://www.congress.gov/member/brad-ashford/A000373,Representative Brad Ashford,(1949 - ),In Congress 2015 - 2017,403
https://www.congress.gov/member/thomas-ashley/A000222,Representative Thomas L. Ashley,(1923 - 2010),In Congress 1955 - 1981,492
https://www.congress.gov/member/les-aspin/A000224,Representative Les Aspin,(1938 - 1995),In Congress 1971 - 1995,1544
https://www.congress.gov/member/chester-atkins/A000226,Representative Chester G. Atkins,(1948 - ),In Congress 1985 - 1993,2622
https://www.congress.gov/member/eugene-atkinson/A000329,Representative Eugene V. Atkinson,(1927 - 2016),In Congress 1979 - 1983,386
https://www.congress.gov/member/les-aucoin/A000337,Representative Les AuCoin,(1942 - ),In Congress 1975 - 1993,2678
