name,url
VAPE IT STORE I,None
VAPE IT STORE II,None
VAPEPAD THE,https://jportal.mdcourts.gov/license/pbLicenseDetail.jsp?owi=ehvLau2KCoc%3D
VAPE LOFT THE,https://jportal.mdcourts.gov/license/pbLicenseDetail.jsp?owi=BXv1GksDAME%3D
VAPE N CIGAR,https://jportal.mdcourts.gov/license/pbLicenseDetail.jsp?owi=Zc3RGwRPTyM%3D
VAPE N CIGAR,https://jportal.mdcourts.gov/license/pbLicenseDetail.jsp?owi=e6HJxDrK5Rw%3D
VAPE DOJO,None
VAPE BIRD II,https://jportal.mdcourts.gov/license/pbLicenseDetail.jsp?owi=ZG6LP%2Fd39VU%3D
VAPE BIRD,https://jportal.mdcourts.gov/license/pbLicenseDetail.jsp?owi=gXLnULvwXBE%3D
VAPORFI SOUTHSIDE,https://jportal.mdcourts.gov/license/pbLicenseDetail.jsp?owi=tC7KTlcRVfw%3D
VAPE DO JO,None
VAPE PLANET,https://jportal.mdcourts.gov/license/pbLicenseDetail.jsp?owi=hvBqaR%2BpeVs%3D
VAPE PLUS,None
VAPE JUNGLE,https://jportal.mdcourts.gov/license/pbLicenseDetail.jsp?owi=jiwchRuFQoU%3D
VAPE JUNGLE 4,https://jportal.mdcourts.gov/license/pbLicenseDetail.jsp?owi=%2FwRoQ47y5O0%3D
VAPE SOCIAL,https://jportal.mdcourts.gov/license/pbLicenseDetail.jsp?owi=oFBW5u6f2is%3D
VAPE SWITCH,None
VAPEWERKS,None
VAPIST MD,https://jportal.mdcourts.gov/license/pbLicenseDetail.jsp?owi=6m9lvrjqnfo%3D
VAPOR EMPORIUM,https://jportal.mdcourts.gov/license/pbLicenseDetail.jsp?owi=qHyCfvsla4Q%3D
VAPOR VILLA,https://jportal.mdcourts.gov/license/pbLicenseDetail.jsp?owi=v6Es0Qnzy6M%3D
VAPOR VILLA,https://jportal.mdcourts.gov/license/pbLicenseDetail.jsp?owi=owKU%2FE0wQ0E%3D
VAPORS LOUNGE,https://jportal.mdcourts.gov/license/pbLicenseDetail.jsp?owi=jeQTUhWcuVA%3D
VAPERS RING THE,https://jportal.mdcourts.gov/license/pbLicenseDetail.jsp?owi=Rf2pM2eJw44%3D
